 57.0964    9.8506   	   6030     0
 57.7364   10.6317   	   6041     0
 57.4000   10.5200   	   6043     0
 56.5606   10.0928   	   6049     0
 56.7067    8.2150   	   6052     0
 56.0072    8.1411   	   6058     0
 56.2933    9.1139   	   6060     0
 56.3083   10.6256   	   6070     0
 56.3028   10.1272   	   6072     0
 56.0956   10.5136   	   6073     0
 56.0803   10.1353   	   6074     0
 56.7169   11.5097   	   6079     0
 55.5281    8.5631   	   6080     0
 55.5575    8.0828   	   6081     0
 55.1906    8.5600   	   6096     0
 55.8681    9.7869   	   6102     0
 55.7381    9.1675   	   6104     0
 55.2253    9.2633   	   6110     0
 54.8986    9.1225   	   6116     0
 54.9622    9.7875   	   6118     0
 54.8528    9.9881   	   6119     0
 55.4750   10.3306   	   6120     0
 55.2444    9.8883   	   6123     0
 55.3089   10.4397   	   6126     0
 55.3217   11.3881   	   6135     0
 54.8206   10.9939   	   6138     0
 54.8275   11.3289   	   6141     0
 54.5686   11.9436   	   6149     0
 55.1592   11.1347   	   6151     0
 55.2075   11.8603   	   6154     0
 55.7358   11.6033   	   6156     0
 56.1961   11.7100   	   6165     0
 56.1192   12.3422   	   6168     0
 55.5869   12.1364   	   6170     0
 55.6142   12.6453   	   6180     0
 55.7664   12.5264   	   6181     0
 55.0678   14.7494   	   6190     0
 55.2981   14.7719   	   6193     0
